parents,designation,sku,etat_intitule,name,etat,Regula_price,photo,diameter,width,length,Poids,Epaisseur,Diameter_Largrue_Cote,Longueur,Categories,Tags,Stock,"Sold individually?","Attribute 0 name","Attribute 0 value(s)","Attribute 0 global","Attribute 1 name","Attribute 1 value(s)","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 global","Attribute 5 name","Attribute 5 value(s)","Attribute 5 global","Attribute 6 name","Attribute 6 value(s)","Attribute 6 global","Attribute 7 name","Attribute 7 value(s)","Attribute 7 global","Attribute 8 name","Attribute 8 value(s)","Attribute 8 global","Attribute 9 name","Attribute 9 value(s)","Attribute 9 global","Attribute 10 name","Attribute 10 value(s)","Attribute 10 global"
"Aciers Outils",40CMD8TrS,66319,"En Stock","40CMD8 TR+S EP 120 FORMAT LIBRE",1,1.79,,19,20,385,1.3,19,20,385,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D3316,1,Epaisseur,19,1,Diameter/Largrue/Cote,20,1,Longueur,385,1
,,66327,"En Stock","HARDOX 450",1,19.31,,10,15,1500,2,10,15,1500,>,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,NH16390,1,Epaisseur,10,1,Diameter/Largrue/Cote,15,1,Longueur,1500,1
,,66328,"En Stock","HARDOX 450",1,19.31,,10,15,1500,2,10,15,1500,>,Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,NH16390,1,Epaisseur,10,1,Diameter/Largrue/Cote,15,1,Longueur,1500,1
"Aciers Outils",40CMD8TrS,66333,"En Stock","40CMD8 TR+S EP  85 FORMAT LIBRE",1,1.93,,10,75,210,1.4,10,75,210,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D3330,1,Epaisseur,10,1,Diameter/Largrue/Cote,75,1,Longueur,210,1
"Aciers de Construction et Alliés",XC48,66334,"En Stock","XC48 EP  80",1,1.64,,45,55,80,1.8,45,55,80,"Aciers de Construction et Alliés>XC48",Plat,1,1,Format,Plat,1,AFNOR,XC48,1,Euronorme,C45,1,NF,A35-551,1,AISI,1045,1,DIN,"Ck 45",1,Werskstoff,1-1191,1,CCPU,D4286,1,Epaisseur,45,1,Diameter/Largrue/Cote,55,1,Longueur,80,1
"Aciers Outils",40CMD8TrS,66339,"En Stock","40CMD8 TR+S EP 120 FORMAT LIBRE",1,9.35,,65,100,120,6.8,65,100,120,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D3309,1,Epaisseur,65,1,Diameter/Largrue/Cote,100,1,Longueur,120,1
"Aciers Inoxydables",316L,66342,"En Stock","316L  D 230  LAMINE   CO",1,17.99,,230,0,6,3.6,0,230,6,"Aciers Inoxydables>316L",Rond,1,1,Format,Rond,1,AFNOR,Z3CND18-12-02,1,Euronorme,X2CrNiMo17-12-2,1,NF,A35-573-90,1,AISI,316L,1,DIN,X5cRNi17-13-2,1,Werskstoff,,1,CCPU,D4692,1,Epaisseur,0,1,Diameter/Largrue/Cote,230,1,Longueur,6,1
"Aciers Inoxydables",Z33C13,66344,"En Stock","Z33C13 TR LAM D 160",1,13.05,,160,0,30,5.3,0,160,30,"Aciers Inoxydables>Z33C13",Rond,1,1,Format,Rond,1,AFNOR,Z33C13,1,Euronorme,X30Cr13,1,NF,A35-565-90,1,AISI,420,1,DIN,X30Cr13,1,Werskstoff,1-4028,1,CCPU,NH16391,1,Epaisseur,0,1,Diameter/Largrue/Cote,160,1,Longueur,30,1
"Aciers Inoxydables",Z33C13,66345,"En Stock","Z33C13 TR LAM D 160",1,5.17,,160,0,12,2.1,160,0,12,"Aciers Inoxydables>Z33C13",Plat,1,1,Format,Plat,1,AFNOR,Z33C13,1,Euronorme,X30Cr13,1,NF,A35-565-90,1,AISI,420,1,DIN,X30Cr13,1,Werskstoff,1-4028,1,CCPU,NH16391,1,Epaisseur,160,1,Diameter/Largrue/Cote,0,1,Longueur,12,1
"Aciers Outils",Z160CDV12,66346,"En Stock","Z160CDV12 EP  22",1,1.52,,22,28,102,0.5,22,28,102,"Aciers Outils>Z160CDV12",Plat,1,1,Format,Plat,1,AFNOR,Z160CDV12,1,Euronorme,X155CrVMo12-1,1,NF,A35-590,1,AISI,P2,1,DIN,X155CrVMo12-1,1,Werskstoff,1-2379,1,CCPU,C0811,1,Epaisseur,22,1,Diameter/Largrue/Cote,28,1,Longueur,102,1
"Aciers Outils",Z160CDV12,66347,"En Stock","Z160CDV12 EP  22",1,1.52,,22,28,102,0.5,22,28,102,"Aciers Outils>Z160CDV12",Plat,1,1,Format,Plat,1,AFNOR,Z160CDV12,1,Euronorme,X155CrVMo12-1,1,NF,A35-590,1,AISI,P2,1,DIN,X155CrVMo12-1,1,Werskstoff,1-2379,1,CCPU,C0811,1,Epaisseur,22,1,Diameter/Largrue/Cote,28,1,Longueur,102,1
"Aciers Outils",Z160CDV12,66348,"En Stock","Z160CDV12 EP  22",1,1.52,,22,28,102,0.5,22,28,102,"Aciers Outils>Z160CDV12",Plat,1,1,Format,Plat,1,AFNOR,Z160CDV12,1,Euronorme,X155CrVMo12-1,1,NF,A35-590,1,AISI,P2,1,DIN,X155CrVMo12-1,1,Werskstoff,1-2379,1,CCPU,C0811,1,Epaisseur,22,1,Diameter/Largrue/Cote,28,1,Longueur,102,1
"Aciers Outils",40CMD8TrS,66351,"En Stock","40CMD8 TR+S EP  85 FORMAT LIBRE",1,0.83,,15,55,92,0.6,15,55,92,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D3330,1,Epaisseur,15,1,Diameter/Largrue/Cote,55,1,Longueur,92,1
"Aciers Outils",40CMD8TrS,66359,"En Stock","40CMD8 TR+S EP  85 FORMAT LIBRE",1,0.96,,20,50,70,0.7,20,50,70,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D3330,1,Epaisseur,20,1,Diameter/Largrue/Cote,50,1,Longueur,70,1
"Aciers Outils",40CMD8TrS,66360,"En Stock","40CMD8 TR+S EP  85 FORMAT LIBRE",1,0.96,,20,25,100,0.7,20,25,100,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D3330,1,Epaisseur,20,1,Diameter/Largrue/Cote,25,1,Longueur,100,1
"Aciers Outils",40CMD8TrS,66362,"En Stock","40CMD8 TR+S EP  85 FORMAT LIBRE",1,0.55,,20,20,95,0.4,20,20,95,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D3330,1,Epaisseur,20,1,Diameter/Largrue/Cote,20,1,Longueur,95,1
"Aciers Outils",40CMD8TrS,66365,"En Stock","40CMD8 TR+S EP  85 FORMAT LIBRE",1,3.99,,30,55,210,2.9,30,55,210,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D3330,1,Epaisseur,30,1,Diameter/Largrue/Cote,55,1,Longueur,210,1
"Aciers de Construction et Alliés",XC48,66366,"En Stock","XC48 PLAQUE EP 130  FORMAT LIBRE",1,2.85,,50,75,130,3.8,50,75,130,"Aciers de Construction et Alliés>XC48",Plat,1,1,Format,Plat,1,AFNOR,XC48,1,Euronorme,C45,1,NF,A35-551,1,AISI,1045,1,DIN,"Ck 45",1,Werskstoff,1-1191,1,CCPU,D4270,1,Epaisseur,50,1,Diameter/Largrue/Cote,75,1,Longueur,130,1
"Aciers Outils",40CMD8TrS,66367,"En Stock","40CMD8 TR+S EP  85 FORMAT LIBRE",1,3.99,,30,55,210,2.9,30,55,210,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D3330,1,Epaisseur,30,1,Diameter/Largrue/Cote,55,1,Longueur,210,1
"Aciers Outils",40CMD8TrS,66371,"En Stock","40CMD8 TR+S EP  85 FORMAT LIBRE",1,0.83,,20,20,150,0.6,20,20,150,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,,1,Epaisseur,20,1,Diameter/Largrue/Cote,20,1,Longueur,150,1
"Aciers Outils",40CMD8TrS,66378,"En Stock","40CMD8 TR+S EP  85 FORMAT LIBRE",1,0.55,,10,10,260,0.4,10,10,260,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D3390,1,Epaisseur,10,1,Diameter/Largrue/Cote,10,1,Longueur,260,1
"Aciers Inoxydables",Z33C13,66379,"En Stock","Z33C13 TR LAM D 160",1,5.42,,160,0,12,2.2,0,160,12,"Aciers Inoxydables>Z33C13",Rond,1,1,Format,Rond,1,AFNOR,Z33C13,1,Euronorme,X30Cr13,1,NF,A35-565-90,1,AISI,420,1,DIN,X30Cr13,1,Werskstoff,1-4028,1,CCPU,NH16444,1,Epaisseur,0,1,Diameter/Largrue/Cote,160,1,Longueur,12,1
"Aciers Inoxydables",Z33C13,66380,"En Stock","Z33C13 TR LAM D 160  CO",1,5.57,,160,0,12,2,0,160,12,"Aciers Inoxydables>Z33C13",Rond,1,1,Format,Rond,1,AFNOR,Z33C13,1,Euronorme,X30Cr13,1,NF,A35-565-90,1,AISI,420,1,DIN,X30Cr13,1,Werskstoff,1-4028,1,CCPU,D3457,1,Epaisseur,0,1,Diameter/Largrue/Cote,160,1,Longueur,12,1
"Aciers Inoxydables",Z33C13,66381,"En Stock","Z33C13 TR LAM D 160  CO",1,8.35,,160,0,15,3,0,160,15,"Aciers Inoxydables>Z33C13",Rond,1,1,Format,Rond,1,AFNOR,Z33C13,1,Euronorme,X30Cr13,1,NF,A35-565-90,1,AISI,420,1,DIN,X30Cr13,1,Werskstoff,1-4028,1,CCPU,D4759,1,Epaisseur,0,1,Diameter/Largrue/Cote,160,1,Longueur,15,1
"Aciers Outils",40CMD8TrS,66383,"En Stock","40CMD8 TR+S EP 120 FORMAT LIBRE",1,1.10,,20,45,110,0.8,20,45,110,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D3309,1,Epaisseur,20,1,Diameter/Largrue/Cote,45,1,Longueur,110,1
"Aciers Outils",40CMD8TrS,66385,"En Stock","40CMD8 TR+S EP  50 FORMAT LIBRE",1,1.00,,45,45,50,0.8,45,45,50,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D4292,1,Epaisseur,45,1,Diameter/Largrue/Cote,45,1,Longueur,50,1
"Aciers Inoxydables",Z33C13,66400,"En Stock","Z33C13 TR LAM D 140",1,3.94,,140,0,10,1.6,0,140,10,"Aciers Inoxydables>Z33C13",Rond,1,1,Format,Rond,1,AFNOR,Z33C13,1,Euronorme,X30Cr13,1,NF,A35-565-90,1,AISI,420,1,DIN,X30Cr13,1,Werskstoff,1-4028,1,CCPU,NH16447,1,Epaisseur,0,1,Diameter/Largrue/Cote,140,1,Longueur,10,1
"Aciers Outils",40CMD8TrS,66406,"En Stock","40CMD8 TR+S EP  80 FORMAT LIBRE",1,1.50,,15,80,85,1.2,15,80,85,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D4290,1,Epaisseur,15,1,Diameter/Largrue/Cote,80,1,Longueur,85,1
"Aciers Inoxydables",Z33C13,66407,"En Stock","Z33C13 TR LAM D 140",1,10.10,,140,0,33,4.1,0,140,33,"Aciers Inoxydables>Z33C13",Rond,1,1,Format,Rond,1,AFNOR,Z33C13,1,Euronorme,X30Cr13,1,NF,A35-565-90,1,AISI,420,1,DIN,X30Cr13,1,Werskstoff,1-4028,1,CCPU,NH16447,1,Epaisseur,0,1,Diameter/Largrue/Cote,140,1,Longueur,33,1
"Aciers Outils",40CMD8TrS,66415,"En Stock","40CMD8 TR+S EP  80 FORMAT LIBRE",1,1.75,,10,20,470,1.4,10,20,470,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D4290,1,Epaisseur,10,1,Diameter/Largrue/Cote,20,1,Longueur,470,1
"Aciers Outils",Z38CDV5,66421,"En Stock","Z38CDV5 D 232  CO",1,41.65,,232,0,35,11.9,0,232,35,"Aciers Outils>Z38CDV5",Rond,1,1,Format,Rond,1,AFNOR,Z38CDV5,1,Euronorme,X38CrMoV5,1,NF,A35-590,1,AISI,H11,1,DIN,X38CrMoV5-1,1,Werskstoff,1-2343,1,CCPU,Q3592,1,Epaisseur,0,1,Diameter/Largrue/Cote,232,1,Longueur,35,1
"Aciers de Construction et Alliés",XC48,66426,"En Stock","XC48 EP 100",1,2.53,,35,85,100,2.7,35,85,100,"Aciers de Construction et Alliés>XC48",Plat,1,1,Format,Plat,1,AFNOR,XC48,1,Euronorme,C45,1,NF,A35-551,1,AISI,1045,1,DIN,"Ck 45",1,Werskstoff,1-1191,1,CCPU,D3434,1,Epaisseur,35,1,Diameter/Largrue/Cote,85,1,Longueur,100,1
"Aciers de Construction et Alliés",XC48,66428,"En Stock","XC48 EP 100",1,2.63,,40,85,100,2.8,40,85,100,"Aciers de Construction et Alliés>XC48",Plat,1,1,Format,Plat,1,AFNOR,XC48,1,Euronorme,C45,1,NF,A35-551,1,AISI,1045,1,DIN,"Ck 45",1,Werskstoff,1-1191,1,CCPU,D3434,1,Epaisseur,40,1,Diameter/Largrue/Cote,85,1,Longueur,100,1
"Aciers Inoxydables",Z16Cn1702,66432,"En Stock","1.4057 (431) PLAQUE FORMAT LIBRE",1,1.51,,20,30,102,0.5,20,30,102,"Aciers Inoxydables>Z16Cn1702",Plat,1,1,Format,Plat,1,AFNOR,Z16Cn1702,1,Euronorme,X20CrNi172,1,NF,,1,AISI,431,1,DIN,,1,Werskstoff,140574,1,CCPU,,1,Epaisseur,20,1,Diameter/Largrue/Cote,30,1,Longueur,102,1
"Aciers de Construction et Alliés",XC48,66434,"En Stock","XC48 EP  80",1,9.86,,80,125,130,10.8,80,125,130,"Aciers de Construction et Alliés>XC48",Plat,1,1,Format,Plat,1,AFNOR,XC48,1,Euronorme,C45,1,NF,A35-551,1,AISI,1045,1,DIN,"Ck 45",1,Werskstoff,1-1191,1,CCPU,D4286,1,Epaisseur,80,1,Diameter/Largrue/Cote,125,1,Longueur,130,1
"Aciers de Construction et Alliés",XC48,66435,"En Stock","XC48 EP  80",1,9.86,,80,120,130,10.8,80,120,130,"Aciers de Construction et Alliés>XC48",Plat,1,1,Format,Plat,1,AFNOR,XC48,1,Euronorme,C45,1,NF,A35-551,1,AISI,1045,1,DIN,"Ck 45",1,Werskstoff,1-1191,1,CCPU,D4286,1,Epaisseur,80,1,Diameter/Largrue/Cote,120,1,Longueur,130,1
"Aciers Outils",Z38CDV5,66444,"En Stock","Z38CDV5 PLAQUE EP 220",1,20.15,,30,140,170,6.2,30,140,170,"Aciers Outils>Z38CDV5",Plat,1,1,Format,Plat,1,AFNOR,Z38CDV5,1,Euronorme,X38CrMoV5,1,NF,A35-590,1,AISI,H11,1,DIN,X38CrMoV5-1,1,Werskstoff,1-2343,1,CCPU,D4294,1,Epaisseur,30,1,Diameter/Largrue/Cote,140,1,Longueur,170,1
"Aciers Outils",Z38CDV5,66452,"En Stock","Z38CDV5 PLAQUE EP 220",1,15.60,,50,105,110,4.8,50,105,110,"Aciers Outils>Z38CDV5",Plat,1,1,Format,Plat,1,AFNOR,Z38CDV5,1,Euronorme,X38CrMoV5,1,NF,A35-590,1,AISI,H11,1,DIN,X38CrMoV5-1,1,Werskstoff,1-2343,1,CCPU,D4294,1,Epaisseur,50,1,Diameter/Largrue/Cote,105,1,Longueur,110,1
"Aciers Outils",Z38CDV5,66453,"En Stock","Z38CDV5 PLAQUE EP 220",1,6.83,,20,90,130,2.1,20,90,130,"Aciers Outils>Z38CDV5",Plat,1,1,Format,Plat,1,AFNOR,Z38CDV5,1,Euronorme,X38CrMoV5,1,NF,A35-590,1,AISI,H11,1,DIN,X38CrMoV5-1,1,Werskstoff,1-2343,1,CCPU,,1,Epaisseur,20,1,Diameter/Largrue/Cote,90,1,Longueur,130,1
"Aciers Outils",Z38CDV5,66461,"En Stock","Z38CDV5 PLAQUE EP 220",1,22.75,,80,80,120,7,80,80,120,"Aciers Outils>Z38CDV5",Plat,1,1,Format,Plat,1,AFNOR,Z38CDV5,1,Euronorme,X38CrMoV5,1,NF,A35-590,1,AISI,H11,1,DIN,X38CrMoV5-1,1,Werskstoff,1-2343,1,CCPU,D4294,1,Epaisseur,80,1,Diameter/Largrue/Cote,80,1,Longueur,120,1
"Aciers Outils",Z38CDV5,66462,"En Stock","Z38CDV5 PLAQUE EP 220",1,26.00,,85,95,120,8,85,95,120,"Aciers Outils>Z38CDV5",Plat,1,1,Format,Plat,1,AFNOR,Z38CDV5,1,Euronorme,X38CrMoV5,1,NF,A35-590,1,AISI,H11,1,DIN,X38CrMoV5-1,1,Werskstoff,1-2343,1,CCPU,D4294,1,Epaisseur,85,1,Diameter/Largrue/Cote,95,1,Longueur,120,1
"Aciers Outils",Z38CDV5,66469,"En Stock","Z38CDV5 PLAQUE EP 220",1,11.70,,55,85,90,3.6,55,85,90,"Aciers Outils>Z38CDV5",Plat,1,1,Format,Plat,1,AFNOR,Z38CDV5,1,Euronorme,X38CrMoV5,1,NF,A35-590,1,AISI,H11,1,DIN,X38CrMoV5-1,1,Werskstoff,1-2343,1,CCPU,D4294,1,Epaisseur,55,1,Diameter/Largrue/Cote,85,1,Longueur,90,1
"Aciers Outils",Z38CDV5,66470,"En Stock","Z38CDV5 PLAQUE EP 220",1,38.35,,75,110,175,11.8,75,110,175,"Aciers Outils>Z38CDV5",Plat,1,1,Format,Plat,1,AFNOR,Z38CDV5,1,Euronorme,X38CrMoV5,1,NF,A35-590,1,AISI,H11,1,DIN,X38CrMoV5-1,1,Werskstoff,1-2343,1,CCPU,D4294,1,Epaisseur,75,1,Diameter/Largrue/Cote,110,1,Longueur,175,1
"Aciers Outils",Z38CDV5,66471,"En Stock","Z38CDV5 PLAQUE EP 220",1,21.78,,36,105,210,6.7,36,105,210,"Aciers Outils>Z38CDV5",Plat,1,1,Format,Plat,1,AFNOR,Z38CDV5,1,Euronorme,X38CrMoV5,1,NF,A35-590,1,AISI,H11,1,DIN,X38CrMoV5-1,1,Werskstoff,1-2343,1,CCPU,,1,Epaisseur,36,1,Diameter/Largrue/Cote,105,1,Longueur,210,1
"Aciers Outils",Z38CDV5,66472,"En Stock","Z38CDV5 PLAQUE EP 220",1,30.23,,75,115,130,9.3,75,115,130,"Aciers Outils>Z38CDV5",Plat,1,1,Format,Plat,1,AFNOR,Z38CDV5,1,Euronorme,X38CrMoV5,1,NF,A35-590,1,AISI,H11,1,DIN,X38CrMoV5-1,1,Werskstoff,1-2343,1,CCPU,D4294,1,Epaisseur,75,1,Diameter/Largrue/Cote,115,1,Longueur,130,1
"Aciers Outils",Z38CDV5,66473,"En Stock","Z38CDV5 PLAQUE EP 220",1,53.30,,80,110,210,16.4,80,110,210,"Aciers Outils>Z38CDV5",Plat,1,1,Format,Plat,1,AFNOR,Z38CDV5,1,Euronorme,X38CrMoV5,1,NF,A35-590,1,AISI,H11,1,DIN,X38CrMoV5-1,1,Werskstoff,1-2343,1,CCPU,D4294,1,Epaisseur,80,1,Diameter/Largrue/Cote,110,1,Longueur,210,1
"Aciers Outils",Z38CDV5,66476,"En Stock","Z38CDV5 PLAQUE EP 220",1,37.05,,40,130,250,11.4,40,130,250,"Aciers Outils>Z38CDV5",Plat,1,1,Format,Plat,1,AFNOR,Z38CDV5,1,Euronorme,X38CrMoV5,1,NF,A35-590,1,AISI,H11,1,DIN,X38CrMoV5-1,1,Werskstoff,1-2343,1,CCPU,D4294,1,Epaisseur,40,1,Diameter/Largrue/Cote,130,1,Longueur,250,1
"Aciers Outils",Z38CDV5,66479,"En Stock","Z38CDV5 PLAQUE EP 220",1,51.03,,110,135,135,15.7,110,135,135,"Aciers Outils>Z38CDV5",Plat,1,1,Format,Plat,1,AFNOR,Z38CDV5,1,Euronorme,X38CrMoV5,1,NF,A35-590,1,AISI,H11,1,DIN,X38CrMoV5-1,1,Werskstoff,1-2343,1,CCPU,D4294,1,Epaisseur,110,1,Diameter/Largrue/Cote,135,1,Longueur,135,1
"Aciers de Construction et Alliés",XC48,66493,"En Stock","XC48 PLAQUE EP 150 FORMAT LIBRE",1,1.37,,40,60,85,1.8,40,60,85,"Aciers de Construction et Alliés>XC48",Plat,1,1,Format,Plat,1,AFNOR,XC48,1,Euronorme,C45,1,NF,A35-551,1,AISI,1045,1,DIN,"Ck 45",1,Werskstoff,1-1191,1,CCPU,D4271,1,Epaisseur,40,1,Diameter/Largrue/Cote,60,1,Longueur,85,1
"Aciers Outils",40CMD8TrS,66494,"En Stock","40CMD8 TR+S EP 120 FORMAT LIBRE",1,6.88,,38,120,130,5,38,120,130,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D3315,1,Epaisseur,38,1,Diameter/Largrue/Cote,120,1,Longueur,130,1
"Aciers de Construction et Alliés",XC48,66497,"En Stock","XC48 EP  80",1,2.01,,30,80,105,2.2,30,80,105,"Aciers de Construction et Alliés>XC48",Plat,1,1,Format,Plat,1,AFNOR,XC48,1,Euronorme,C45,1,NF,A35-551,1,AISI,1045,1,DIN,"Ck 45",1,Werskstoff,1-1191,1,CCPU,D4289,1,Epaisseur,30,1,Diameter/Largrue/Cote,80,1,Longueur,105,1
"Aciers Outils",40CMD8TrS,66504,"En Stock","40CMD8 TR+S EP 120 FORMAT LIBRE",1,2.06,,15,90,125,1.5,15,90,125,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D3315,1,Epaisseur,15,1,Diameter/Largrue/Cote,90,1,Longueur,125,1
"Aciers de Construction et Alliés",XC48,66505,"En Stock","XC48 PLAQUE EP  90 FORMAT LIBRE",1,0.84,,20,70,92,1,20,70,92,"Aciers de Construction et Alliés>XC48",Plat,1,1,Format,Plat,1,AFNOR,XC48,1,Euronorme,C45,1,NF,A35-551,1,AISI,1045,1,DIN,"Ck 45",1,Werskstoff,1-1191,1,CCPU,D3437,1,Epaisseur,20,1,Diameter/Largrue/Cote,70,1,Longueur,92,1
"Aciers de Construction et Alliés",XC48,66516,"En Stock","XC48 EP 100",1,1.03,,25,45,105,1.1,25,45,105,"Aciers de Construction et Alliés>XC48",Plat,1,1,Format,Plat,1,AFNOR,XC48,1,Euronorme,C45,1,NF,A35-551,1,AISI,1045,1,DIN,"Ck 45",1,Werskstoff,1-1191,1,CCPU,D3434,1,Epaisseur,25,1,Diameter/Largrue/Cote,45,1,Longueur,105,1
"Aciers Outils",40CMD8TrS,66523,"En Stock","40CMD8 TR+S EP 120 FORMAT LIBRE",1,13.89,,95,105,120,10.1,95,105,120,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D3309,1,Epaisseur,95,1,Diameter/Largrue/Cote,105,1,Longueur,120,1
"Aciers de Construction et Alliés",XC48,66525,"En Stock","XC48 PLAQUE EP  90 FORMAT LIBRE",1,0.67,,22,65,68,0.8,22,65,68,"Aciers de Construction et Alliés>XC48",Plat,1,1,Format,Plat,1,AFNOR,XC48,1,Euronorme,C45,1,NF,A35-551,1,AISI,1045,1,DIN,"Ck 45",1,Werskstoff,1-1191,1,CCPU,D3437,1,Epaisseur,22,1,Diameter/Largrue/Cote,65,1,Longueur,68,1
"Aciers Outils",40CMD8TrS,66570,"En Stock","P20 EP 150",1,1.00,,10,65,80,0.7,10,65,80,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D2968,1,Epaisseur,10,1,Diameter/Largrue/Cote,65,1,Longueur,80,1
"Aciers Outils",40CMD8TrS,66572,"En Stock","40CMD8 TR+S EP 120 FORMAT LIBRE",1,1.38,,10,75,120,1,10,75,120,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D3316,1,Epaisseur,10,1,Diameter/Largrue/Cote,75,1,Longueur,120,1
"Aciers Outils",40CMD8TrS,66577,"En Stock","40CMD8 TR+S EP  85 FORMAT LIBRE",1,2.20,,12,90,120,1.6,12,90,120,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,D3330,1,Epaisseur,12,1,Diameter/Largrue/Cote,90,1,Longueur,120,1
