parents,designation,sku,etat_intitule,name,etat,Regula_price,photo,diameter,width,length,Poids,Epaisseur,Diameter_Largrue_Cote,Longueur,Categories,Tags,Stock,"Sold individually?","Attribute 0 name","Attribute 0 value(s)","Attribute 0 global","Attribute 1 name","Attribute 1 value(s)","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 global","Attribute 5 name","Attribute 5 value(s)","Attribute 5 global","Attribute 6 name","Attribute 6 value(s)","Attribute 6 global","Attribute 7 name","Attribute 7 value(s)","Attribute 7 global","Attribute 8 name","Attribute 8 value(s)","Attribute 8 global","Attribute 9 name","Attribute 9 value(s)","Attribute 9 global","Attribute 10 name","Attribute 10 value(s)","Attribute 10 global"
"Aciers de Construction et Alliés",XC48,63290,"En Stock","XC48 PLAQUE EP 150 FORMAT LIBRE",1,5.70,,50,110,150,7.5,50,110,150,"Aciers de Construction et Alliés>XC48",Plat,1,1,Format,Plat,1,AFNOR,XC48,1,Euronorme,C45,1,NF,A35-551,1,AISI,1045,1,DIN,"Ck 45",1,Werskstoff,1-1191,1,CCPU,D4269,1,Epaisseur,50,1,Diameter/Largrue/Cote,110,1,Longueur,150,1
"Aciers Inoxydables",Z16Cn1702,63302,"En Stock","431  D 200  LAMINE  CO",1,38.12,,200,0,42,10.7,0,200,42,"Aciers Inoxydables>Z16Cn1702",Rond,1,1,Format,Rond,1,AFNOR,Z16Cn1702,1,Euronorme,X20CrNi172,1,NF,,1,AISI,431,1,DIN,,1,Werskstoff,140574,1,CCPU,Q12311,1,Epaisseur,0,1,Diameter/Largrue/Cote,200,1,Longueur,42,1
"Aciers Inoxydables",Z16Cn1702,63309,"En Stock","1.4057 (431)   375x93  TRAITE",1,4.11,,20,30,175,0.9,20,30,175,"Aciers Inoxydables>Z16Cn1702",Plat,1,1,Format,Plat,1,AFNOR,Z16Cn1702,1,Euronorme,X20CrNi172,1,NF,,1,AISI,431,1,DIN,,1,Werskstoff,140574,1,CCPU,D4455,1,Epaisseur,20,1,Diameter/Largrue/Cote,30,1,Longueur,175,1
"Aciers Inoxydables",Z16Cn1702,63310,"En Stock","1.4057 (431)   375x93  TRAITE",1,4.11,,20,30,180,0.9,20,30,180,"Aciers Inoxydables>Z16Cn1702",Plat,1,1,Format,Plat,1,AFNOR,Z16Cn1702,1,Euronorme,X20CrNi172,1,NF,,1,AISI,431,1,DIN,,1,Werskstoff,140574,1,CCPU,D4455,1,Epaisseur,20,1,Diameter/Largrue/Cote,30,1,Longueur,180,1
"Aciers Inoxydables",Z16Cn1702,63311,"En Stock","1.4057 (431)   375x93  TRAITE",1,4.11,,20,30,180,0.9,20,30,180,"Aciers Inoxydables>Z16Cn1702",Plat,1,1,Format,Plat,1,AFNOR,Z16Cn1702,1,Euronorme,X20CrNi172,1,NF,,1,AISI,431,1,DIN,,1,Werskstoff,140574,1,CCPU,D4455,1,Epaisseur,20,1,Diameter/Largrue/Cote,30,1,Longueur,180,1
"Aciers Inoxydables",Z16Cn1702,63312,"En Stock","1.4057 (431)   375x93  TRAITE",1,4.11,,20,30,180,0.9,20,30,180,"Aciers Inoxydables>Z16Cn1702",Plat,1,1,Format,Plat,1,AFNOR,Z16Cn1702,1,Euronorme,X20CrNi172,1,NF,,1,AISI,431,1,DIN,,1,Werskstoff,140574,1,CCPU,D4455,1,Epaisseur,20,1,Diameter/Largrue/Cote,30,1,Longueur,180,1
"Aciers Inoxydables",Z16Cn1702,63313,"En Stock","1.4057 (431)   375x93  TRAITE",1,5.02,,15,30,260,1.1,15,30,260,"Aciers Inoxydables>Z16Cn1702",Plat,1,1,Format,Plat,1,AFNOR,Z16Cn1702,1,Euronorme,X20CrNi172,1,NF,,1,AISI,431,1,DIN,,1,Werskstoff,140574,1,CCPU,D4455,1,Epaisseur,15,1,Diameter/Largrue/Cote,30,1,Longueur,260,1
"Aciers Outils","TOOLOX 44",63314,"En Stock","TOOLOX 44  EP  40",1,2.86,,25,40,100,1,25,40,100,"Aciers Outils>TOOLOX 44",Plat,1,1,Format,Plat,1,AFNOR,,1,Euronorme,,1,NF,,1,AISI,,1,DIN,,1,Werskstoff,,1,CCPU,Q10013,1,Epaisseur,25,1,Diameter/Largrue/Cote,40,1,Longueur,100,1
"Aciers Inoxydables",Z16Cn1702,63324,"En Stock","1.4057 (431) PLAQUE FORMAT LIBRE",1,2.42,,10,25,265,0.8,10,25,265,"Aciers Inoxydables>Z16Cn1702",Plat,1,1,Format,Plat,1,AFNOR,Z16Cn1702,1,Euronorme,X20CrNi172,1,NF,,1,AISI,431,1,DIN,,1,Werskstoff,140574,1,CCPU,D4455,1,Epaisseur,10,1,Diameter/Largrue/Cote,25,1,Longueur,265,1
"Aciers Outils",40CMD8TrS,63327,"En Stock","40CMD8 TR+S EP  25 FORMAT LIBRE",1,2.36,,25,25,165,1,25,25,165,"Aciers Outils>40CMD8TrS",Plat,1,1,Format,Plat,1,AFNOR,40CMD8TrS,1,Euronorme,40CrMnMoS8,1,NF,,1,AISI,P20+S,1,DIN,40CrMnMoS8,1,Werskstoff,1-2312,1,CCPU,,1,Epaisseur,25,1,Diameter/Largrue/Cote,25,1,Longueur,165,1
